case,fgc,med,rec,rem,work
AKS,446,6,2,446,193886
AKS,440,6,2,440,196880
AKS,442,6,2,442,188281
AKS,440,4,2,440,188087
AKS,449,6,2,449,189765
AKS,447,6,2,447,197012
AKS,445,6,2,445,192008
AKS,458,6,2,458,193461
AKS,445,6,2,445,193961
AKS,465,6,2,465,189197
AKS,442,6,2,442,197770
AKS,449,6,2,449,190381
AKS,436,6,2,436,190414
AKS,442,6,2,442,196546
AKS,447,6,2,447,191774
AKS,445,6,2,445,188635
AKS,497,6,2,497,187417
AKS,441,6,2,441,193354
AKS,441,6,2,441,189682
AKS,466,6,2,466,189321
AKS,473,6,2,473,194617
AKS,442,6,2,442,191237
AKS,447,6,2,447,188624
AKS,449,6,2,449,191396
AKS,439,6,2,439,198896
AKS,468,6,2,468,186372
AKS,464,6,2,464,192534
AKS,462,4,2,462,190995
AKS,450,6,2,450,188148
AKS,461,6,2,461,189602
AKS,452,6,2,452,192779
AKS,454,6,2,454,193171
AKS,462,6,2,462,192033
AKS,461,6,2,461,199241
AKS,448,6,2,448,194555
AKS,439,4,2,439,191114
AKS,439,4,2,439,190616
AKS,446,4,2,446,192482
AKS,459,6,2,459,192293
AKS,442,6,2,442,194138
AKS,446,6,2,446,188711
AKS,441,6,2,441,195236
AKS,460,6,2,460,188496
AKS,452,6,2,452,195517
AKS,437,6,2,437,191220
AKS,443,4,2,443,194941
AKS,452,6,2,452,199710
AKS,463,6,2,463,196908
AKS,445,6,2,445,193675
AKS,452,6,2,452,195482
AKS,442,6,2,442,187748
AKS,459,6,2,459,194616
AKS,454,6,2,454,190579
AKS,457,6,2,457,193052
AKS,442,6,2,442,201043
AKS,471,6,2,471,189959
AKS,446,6,2,446,189244
AKS,440,2,2,440,188191
AKS,448,6,2,448,189082
AKS,446,6,2,446,193002
AKS,456,6,2,456,192827
AKS,447,6,2,447,196983
AKS,444,4,2,444,194661
AKS,452,6,2,452,191453
AKS,449,6,2,449,191428
AKS,462,6,2,462,196163
AKS,444,4,2,444,190571
AKS,445,6,2,445,191190
AKS,451,6,2,451,190885
AKS,449,6,2,449,188899
AKS,456,6,2,456,188771
AKS,439,6,2,439,189984
AKS,452,4,2,452,193019
AKS,448,6,2,448,193412
AKS,447,6,2,447,191295
AKS,455,6,2,455,190959
AKS,446,6,2,446,191298
AKS,445,4,2,445,197705
AKS,449,6,2,449,192810
AKS,444,4,2,444,191752
AKS,450,4,2,450,189918
AKS,440,4,2,440,192446
AKS,465,6,2,465,193326
AKS,458,6,2,458,197721
AKS,450,6,2,450,191614
AKS,454,4,1,454,163868
AKS,442,6,2,442,189171
AKS,446,6,2,446,189137
AKS,454,6,2,454,191243
AKS,453,6,2,453,191946
AKS,436,4,2,436,198554
AKS,454,6,2,454,190219
AKS,455,4,2,455,196074
AKS,452,6,2,452,188966
AKS,469,6,2,469,190487
AKS,446,6,2,446,194033
AKS,446,4,2,446,189094
AKS,445,6,2,445,197148
AKS,460,6,2,460,200593
AKS,446,4,2,446,189461
AKS,476,4,2,476,195097
AKS,448,6,2,448,190678
AKS,455,6,2,455,192977
AKS,453,6,2,453,195538
AKS,449,6,2,449,189642
AKS,450,6,2,450,190916
AKS,451,6,2,451,191843
AKS,446,6,2,446,194062
AKS,437,6,2,437,193987
AKS,459,6,2,459,191756
AKS,440,6,2,440,190195
AKS,438,6,2,438,192430
AKS,465,6,2,465,190411
AKS,436,2,2,436,193344
AKS,452,4,2,452,196903
AKS,436,6,2,436,195726
AKS,460,6,2,460,196980
AKS,455,6,2,455,192755
AKS,462,6,2,462,192913
AKS,453,6,2,453,194843
AKS,438,4,1,438,165965
AKS,442,4,2,442,190688
AKS,441,6,2,441,192239
AKS,447,6,2,447,189266
AKS,455,6,2,455,195624
AKS,436,6,2,436,190349
AKS,443,4,1,443,166417
AKS,454,6,2,454,190302
AKS,446,6,2,446,190735
AKS,440,6,2,440,192966
AKS,448,6,2,448,196626
AKS,445,2,2,445,195744
AKS,444,6,2,444,193253
AKS,441,6,2,441,192298
AKS,445,6,2,445,190586
AKS,449,4,2,449,189732
AKS,451,4,2,451,193609
AKS,448,6,2,448,196925
AKS,446,6,2,446,194760
AKS,459,6,2,459,189824
AKS,445,6,2,445,196278
AKS,432,6,2,432,193546
AKS,465,6,2,465,189033
AKS,454,6,2,454,191074
AKS,451,6,2,451,196233
AKS,449,6,2,449,192915
AKS,437,6,2,437,195144
AKS,441,4,2,441,191156
AKS,441,6,2,441,190622
AKS,440,6,2,440,192859
AKS,444,6,2,444,186400
AKS,456,4,1,456,164415
AKS,458,6,2,458,194228
AKS,444,6,2,444,192792
AKS,443,6,2,443,198186
AKS,440,6,2,440,194974
AKS,444,6,2,444,194240
AKS,462,4,1,462,164707
AKS,436,6,2,436,194987
AKS,457,4,2,457,191471
AKS,438,6,2,438,195014
AKS,446,6,2,446,192186
AKS,437,6,2,437,191387
AKS,443,6,2,443,187769
AKS,451,6,2,451,193535
AKS,460,6,2,460,189549
AKS,457,4,2,457,192057
AKS,451,4,2,451,188035
AKS,449,6,2,449,192034
AKS,431,6,2,431,190520
AKS,462,6,2,462,192847
AKS,441,4,2,441,192235
AKS,449,6,2,449,190645
AKS,444,6,2,444,197643
AKS,436,4,2,436,189614
AKS,446,4,1,446,164546
AKS,447,6,2,447,194810
AKS,452,4,2,452,197031
AKS,442,6,2,442,190183
AKS,451,6,2,451,198540
AKS,446,6,2,446,192473
AKS,448,6,2,448,190502
AKS,454,6,2,454,194489
AKS,440,6,2,440,190273
AKS,444,6,2,444,194367
AKS,447,6,2,447,192487
AKS,445,4,2,445,194475
AKS,435,6,2,435,190933
AKS,439,6,2,439,193882
AKS,458,4,2,458,191898
AKS,436,6,2,436,189293
AKS,451,6,2,451,190471
AKS,449,6,2,449,189394
AKS,445,6,2,445,190409
AKS,441,6,2,441,193972
AKS,451,6,2,451,186672
AKS,437,6,2,437,189860
AKS,457,6,2,457,197639
AKS,443,6,2,443,199489
AKS,437,6,2,437,194521
AKS,439,6,2,439,192674
AKS,453,6,2,453,195667
AKS,442,6,2,442,188522
AKS,434,6,2,434,189236
AKS,443,4,2,443,192800
AKS,455,2,2,455,188976
AKS,453,6,2,453,194734
AKS,435,6,2,435,192596
AKS,446,6,2,446,193278
AKS,433,6,2,433,189196
AKS,443,6,2,443,188441
AKS,450,6,2,450,193134
AKS,463,4,1,463,165236
AKS,446,6,2,446,194889
AKS,441,6,2,441,190087
AKS,460,6,2,460,189894
AKS,443,4,1,443,163246
AKS,436,6,2,436,193205
AKS,446,4,2,446,189632
AKS,442,6,2,442,192033
AKS,470,6,2,470,191845
AKS,439,6,2,439,191545
AKS,452,6,2,452,200033
AKS,458,6,2,458,189704
AKS,449,6,2,449,188352
AKS,439,6,2,439,198711
AKS,452,6,2,452,194849
AKS,461,6,2,461,191743
AKS,442,4,2,442,200915
AKS,436,6,2,436,196030
AKS,450,6,2,450,185145
AKS,445,4,1,445,161986
AKS,438,6,2,438,192366
AKS,446,2,1,446,164340
AKS,430,6,2,430,195303
AKS,442,4,2,442,191892
AKS,444,6,2,444,192851
AKS,446,6,2,446,193298
AKS,452,4,2,452,192527
AKS,446,6,2,446,193051
AKS,442,6,2,442,191899
AKS,454,6,2,454,192792
AKS,447,6,2,447,189803
AKS,442,6,2,442,189886
AKS,439,6,2,439,199532
AKS,445,6,2,445,190685
AKS,442,6,2,442,188235
AKS,442,6,2,442,191437
AKS,434,6,2,434,198212
AKS,453,6,2,453,191442
AKS,439,6,2,439,193285
AKS,464,6,2,464,191963
AKS,453,6,2,453,195015
AKS,450,4,2,450,190410
AKS,436,6,2,436,193799
AKS,442,6,2,442,195818
AKS,460,6,2,460,188406
AKS,455,6,2,455,192243
AKS,440,6,2,440,192019
AKS,449,6,2,449,197899
AKS,447,4,2,447,194760
AKS,450,6,2,450,189692
AKS,453,6,2,453,190886
AKS,450,4,2,450,189245
AKS,444,6,2,444,192350
AKS,450,6,2,450,192784
AKS,460,6,2,460,194835
AKS,462,6,2,462,193589
AKS,442,6,2,442,194574
AKS,443,6,2,443,195196
